4.9747 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
89.3873 	DATA 	Keypress: right
89.3986 	EXP 	fixation: autoDraw = False
89.3986 	EXP 	grating: autoDraw = False
89.3989 	EXP 	window1: recordFrameIntervals = False
89.4156 	EXP 	window1: recordFrameIntervals = False
90.3893 	EXP 	fixation: autoDraw = True
91.3983 	EXP 	fixation: autoDraw = False
91.3983 	EXP 	grating: autoDraw = True
91.3983 	EXP 	grating: tex = 'sin'
91.6983 	EXP 	grating: autoDraw = False
91.8021 	DATA 	Keypress: right
91.8150 	EXP 	fixation: autoDraw = False
91.8150 	EXP 	grating: autoDraw = False
91.8153 	EXP 	window1: recordFrameIntervals = False
91.8320 	EXP 	window1: recordFrameIntervals = False
92.8042 	EXP 	fixation: autoDraw = True
93.8152 	EXP 	fixation: autoDraw = False
93.8152 	EXP 	grating: autoDraw = True
93.8152 	EXP 	grating: tex = 'sin'
94.1150 	EXP 	grating: autoDraw = False
94.2507 	DATA 	Keypress: left
94.2652 	EXP 	fixation: autoDraw = False
94.2652 	EXP 	grating: autoDraw = False
94.2655 	EXP 	window1: recordFrameIntervals = False
94.2823 	EXP 	window1: recordFrameIntervals = False
95.2540 	EXP 	fixation: autoDraw = True
96.2650 	EXP 	fixation: autoDraw = False
96.2650 	EXP 	grating: autoDraw = True
96.2650 	EXP 	grating: tex = 'sin'
96.5649 	EXP 	grating: autoDraw = False
96.7185 	DATA 	Keypress: left
96.7315 	EXP 	fixation: autoDraw = False
96.7315 	EXP 	grating: autoDraw = False
96.7318 	EXP 	window1: recordFrameIntervals = False
96.7485 	EXP 	window1: recordFrameIntervals = False
97.7217 	EXP 	fixation: autoDraw = True
98.7315 	EXP 	fixation: autoDraw = False
98.7315 	EXP 	grating: autoDraw = True
98.7315 	EXP 	grating: tex = 'sin'
99.0313 	EXP 	grating: autoDraw = False
99.1853 	DATA 	Keypress: left
99.1980 	EXP 	fixation: autoDraw = False
99.1980 	EXP 	grating: autoDraw = False
99.1982 	EXP 	window1: recordFrameIntervals = False
99.2149 	EXP 	window1: recordFrameIntervals = False
100.1865 	EXP 	fixation: autoDraw = True
101.1981 	EXP 	fixation: autoDraw = False
101.1981 	EXP 	grating: autoDraw = True
101.1981 	EXP 	grating: tex = 'sin'
101.4979 	EXP 	grating: autoDraw = False
101.6024 	DATA 	Keypress: left
101.6145 	EXP 	fixation: autoDraw = False
101.6145 	EXP 	grating: autoDraw = False
101.6148 	EXP 	window1: recordFrameIntervals = False
101.6315 	EXP 	window1: recordFrameIntervals = False
102.6037 	EXP 	fixation: autoDraw = True
103.6147 	EXP 	fixation: autoDraw = False
103.6147 	EXP 	grating: autoDraw = True
103.6147 	EXP 	grating: tex = 'sin'
103.9144 	EXP 	grating: autoDraw = False
104.0012 	DATA 	Keypress: right
104.0145 	EXP 	fixation: autoDraw = False
104.0145 	EXP 	grating: autoDraw = False
104.0147 	EXP 	window1: recordFrameIntervals = False
104.0315 	EXP 	window1: recordFrameIntervals = False
105.0032 	EXP 	fixation: autoDraw = True
106.0146 	EXP 	fixation: autoDraw = False
106.0146 	EXP 	grating: autoDraw = True
106.0146 	EXP 	grating: tex = 'sin'
106.3145 	EXP 	grating: autoDraw = False
106.5514 	DATA 	Keypress: right
106.5645 	EXP 	fixation: autoDraw = False
106.5645 	EXP 	grating: autoDraw = False
106.5649 	EXP 	window1: recordFrameIntervals = False
106.5814 	EXP 	window1: recordFrameIntervals = False
107.5541 	EXP 	fixation: autoDraw = True
108.5646 	EXP 	fixation: autoDraw = False
108.5646 	EXP 	grating: autoDraw = True
108.5646 	EXP 	grating: tex = 'sin'
108.8644 	EXP 	grating: autoDraw = False
108.9512 	DATA 	Keypress: left
108.9644 	EXP 	fixation: autoDraw = False
108.9644 	EXP 	grating: autoDraw = False
108.9647 	EXP 	window1: recordFrameIntervals = False
108.9813 	EXP 	window1: recordFrameIntervals = False
109.9540 	EXP 	fixation: autoDraw = True
110.9645 	EXP 	fixation: autoDraw = False
110.9645 	EXP 	grating: autoDraw = True
110.9645 	EXP 	grating: tex = 'sin'
111.2642 	EXP 	grating: autoDraw = False
111.6176 	DATA 	Keypress: right
111.6309 	EXP 	fixation: autoDraw = False
111.6309 	EXP 	grating: autoDraw = False
111.6312 	EXP 	window1: recordFrameIntervals = False
111.6479 	EXP 	window1: recordFrameIntervals = False
112.6203 	EXP 	fixation: autoDraw = True
113.6310 	EXP 	fixation: autoDraw = False
113.6310 	EXP 	grating: autoDraw = True
113.6310 	EXP 	grating: tex = 'sin'
113.9308 	EXP 	grating: autoDraw = False
113.9850 	DATA 	Keypress: left
113.9977 	EXP 	fixation: autoDraw = False
113.9977 	EXP 	grating: autoDraw = False
113.9982 	EXP 	window1: recordFrameIntervals = False
114.0143 	EXP 	window1: recordFrameIntervals = False
114.9872 	EXP 	fixation: autoDraw = True
115.9975 	EXP 	fixation: autoDraw = False
115.9975 	EXP 	grating: autoDraw = True
115.9975 	EXP 	grating: tex = 'sin'
116.2975 	EXP 	grating: autoDraw = False
